CCA3,2022 Population,Pop_2030
CHN,1425887337,1544645312.1335855
IND,1417173173,1536040749.8910587
USA,338289857,366576449.51731604
IDN,275501339,298599881.6738467
PAK,235824862,255856673.70529157
NGA,218541212,237199749.25580826
BRA,215313498,233332178.3234305
BGD,171186372,185604275.7875977
RUS,144713314,156732203.76406038
MEX,127504125,138193201.5125799
